document,paragraph_index,original_text,semplit_umt5_text,semplit_umt5_n_tokens,semplit_umt5_n_tokens_all,semplit_umt5_n_chars,semplit_umt5_n_chars_all,semplit_umt5_n_syllables,semplit_umt5_n_words,semplit_umt5_n_unique_lemmas,semplit_umt5_n_sentences,semplit_umt5_n_other,semplit_umt5_n_nouns,semplit_umt5_n_verbs,semplit_umt5_n_number,semplit_umt5_n_symbols,semplit_umt5_n_adverbs,semplit_umt5_n_articles,semplit_umt5_n_pronouns,semplit_umt5_n_particles,semplit_umt5_n_adjectives,semplit_umt5_n_prepositions,semplit_umt5_n_proper_nouns,semplit_umt5_n_punctuations,semplit_umt5_n_interjections,semplit_umt5_n_coordinating_conjunctions,semplit_umt5_n_subordinating_conjunctions,semplit_umt5_n_active_verbs,semplit_umt5_n_passive_verbs,semplit_umt5_ttr,semplit_umt5_gulpease,semplit_umt5_flesch_vacca,semplit_umt5_lexical_density,semplit_umt5_n_vdb,semplit_umt5_n_vdb_fo,semplit_umt5_n_vdb_au,semplit_umt5_n_vdb_ad,semplit_umt5_semantic_similarity,semplit_umt5_editdistance,semplit_umt5_n_added_tokens,semplit_umt5_n_deleted_tokens,semplit_umt5_n_added_vdb_tokens,semplit_umt5_n_deleted_vdb_tokens
07108e7d68b7e897ed6a800be9802105,1,"Le amministrazioni locali devono dare attuazione alle nuove disposizioni dettate dal D. Lgs. n. 175 del 19 agosto 2016, recante ""Testo unico in materia di società a partecipazione pubblica"", per come modificato e integrato dal decreto legislativo 16 giugno 2017, n. 100.","Le amministrazioni locali devono seguire nuove regole stabilite dal Decreto Legislativo n. 175 del 19 agosto 2016, che riguarda le società per partecipare pubbliche, come modificato e integrato dal decreto legislativo n. 100 del 16 giugno 2017, n. 100.",39,43,210,214,88,34,33,1,0,10,7,7,0,0,2,1,0,5,5,0,4,0,1,1,7,0,87.17948717948718,42.84615384615385,20.333333333333314,0.5641025641025641,26,23,3,1,57.51098394393921,81,10,16,8,11
07108e7d68b7e897ed6a800be9802105,2,"Il ""Testo unico in materia di società a partecipazione pubblica"" (in avanti, per brevità, T.U.S.P.) impone a tutte le amministrazioni pubbliche di effettuare annualmente, entro il 31 dicembre, una ""analisi dell'assetto complessivo delle società in cui detengono partecipazioni, dirette o indirette, predisponendo, ove ricorrono i presupposti di cui al comma 2, un piano di riassetto per la loro razionalizzazione, fusione o soppressione, anche mediante messa in liquidazione o cessione..."".","Il ""Testo unico sulla società a partecipazione pubblica"" (T.U.S.P.). In breve, il ""Testo unico sulla società a partecipazione pubblica"" richiede alle amministrazioni pubbliche di fare ogni anno una valutazione totale delle società in cui vengono possedute, dirette o indirette, a condizione che ci siano i requisiti richiesti nel paragrafo 2. In particolare, devono mettere in atto un piano per riorganizzare, fusionare o vendere le loro azioni, anche vendendole.",68,83,381,396,161,56,50,3,0,17,11,1,0,1,8,2,0,10,14,1,15,0,2,1,9,2,82.35294117647058,46.205882352941174,29.436274509803912,0.5735294117647058,56,51,6,7,81.75688982009888,243,31,31,22,17
07108e7d68b7e897ed6a800be9802105,3,"Ai sensi delle previsioni di cui all'art. 4, comma 1, del predetto T.U.S.P., le Pubbliche Amministrazioni, ivi compresi le Provincie, non possono, direttamente o indirettamente, mantenere partecipazioni, anche di minoranza, in società aventi per oggetto attività di produzione di beni e servizi non strettamente necessarie per il perseguimento delle proprie finalità istituzionali. La razionalizzazione periodica deve pertanto evidenziare quelle partecipazioni delle quali non si ravvisa la necessità del mantenimento per il perseguimento delle finalità dell'Ente e che, pertanto devono essere dismesse.","È previsto dall'articolo 4, comma 1, del T.U.S.P., le Pubbliche Amministrazioni non può mantenere partecipazioni pubblici, anche di minoranza, in società che producono beni e servizi non strettamente necessari per raggiungere le loro finalità istituzionali. Per farlo, si deve registrare le partecipazioni in cui non ci sono bisogno di continuare i risultati dell'Ente e non devono essere dimesse.",60,68,332,340,138,51,45,2,0,14,14,2,0,6,5,4,0,4,9,0,8,0,2,0,9,5,85.0,43.666666666666664,26.5,0.6333333333333333,50,42,8,5,72.39909172058105,253,20,40,18,25
07108e7d68b7e897ed6a800be9802105,4,"Al fine della corretta gestione delle partecipazioni societarie, è necessario che la Provincia definisca un efficace sistema di controllo e di vigilanza delle società partecipate, funzionale alla preventiva acquisizione di dati ed informazioni utili alla motivazione della scelta di mantenere o dismettere la partecipazione. Nello specifico, questo Ente deve sottoporre le società partecipate ad un penetrante controllo in ordine alla realizzazione degli obiettivi preventivamente individuati, ai reciproci rapporti finanziari, alla situazione contabile, gestionale e organizzativa delle società nonché ai possibili squilibri economico-finanziari rilevanti per il bilancio della Provincia.","Le società partecipate devono essere controllate e vigilante in modo che i dati e le informazioni possano essere condivisi con la Provincia. In specifico, l'ente deve controllare le società partecipate a un controllo efficace per trovare obiettivi e per superare il bilancio della Provincia. Inoltre, gli enti devono controllare i rapporti finanziari, le relazioni finanziarie, la situazione contabile e organizzativa delle società e eventuali squilibri economici e finanziari importanti per il bilancio della Provincia.",75,82,440,447,187,52,41,3,0,20,12,0,0,1,13,0,0,12,10,0,7,0,6,1,6,6,69.33333333333334,42.333333333333336,18.933333333333337,0.6,64,61,3,7,86.56978607177734,344,29,49,27,34
07108e7d68b7e897ed6a800be9802105,5,"La scelta di mantenere lo strumento societario, inoltre, necessita di una puntuale ed argomentata motivazione, soprattutto nel caso di società in perdita strutturale, le cui partecipazioni si ritenga, ciò nonostante, di mantenere. La valutazione dell'Ente, dunque non può prescindere da un'attenta analisi dei risultati economici e della gestione finanziaria delle società partecipate. A tal proposito, il d. lgs. 175/2016, con l'obiettivo di responsabilizzare maggiormente gli Enti, prevede che in caso di perdite reiterate nella partecipata gli Enti sono tenuti ad accantonare risorse e a decurtare i compensi degli amministratori (art. 21), dando atto che il conseguimento di un risultato economico negativo per due anni consecutivi rappresenta giusta causa per la revoca degli amministratori, nonché per l'avvio del processo di razionalizzazione delle società con un trend negativo per quatto anni nell'ultimo quinquennio (artt. 20 e 24). La formulazione complessiva del decreto, evidenzia che la ratio legis si sostanzia nell'intento del legislatore di dare impulso al riordino e alla razionalizzazione delle partecipazioni societarie pubbliche anche mediante la previsione di pesanti sanzioni. Da quanto sopra, emerge che questo Ente è obbligato, indipendentemente dalla consistenza più o meno ampia della propria partecipazione azionaria, ad un effettivo monitoraggio sull'andamento delle società. La Provincia di Catanzaro detiene partecipazioni nelle società di seguito elencate:","L'obiettivo d' mantenere il strumento societario è concentrarsi soprattutto sulla gestione dell'azienda, non solo quando vengono vendute strutture principali. Allo stesso modo, la valutazione dell'Ente può essere complessa e complessa. Per valutare dell'Ente, è importante guardare ai risultati economici e della gestione finanziaria delle società che possono essere mantenute, come ad esempio la perdita strutturale. Il decreto legislativo 175/2016 con i decisi su come responsabiliizzare maggiormente l'Ente. In questa valutazione, l'Ente sarà responsabili dell'ente che sostiene le aziende deve rispettare la regola e ridurre le partecipazioni delle società private, anche se ci sono situazioni di problema economico per due anni consecutivi. Tuttavia, la Provincia di Catanzaro possiede queste partecipazioni nei seguenti settori:",119,133,709,723,288,95,77,6,0,29,22,2,0,7,14,3,0,14,22,2,13,0,3,2,17,5,79.83193277310924,44.54621848739496,28.85574229691876,0.6050420168067226,100,91,11,7,85.46245098114014,849,55,132,48,87
07108e7d68b7e897ed6a800be9802105,6,"È una società per azioni a maggioranza pubblica che ha sede nel Comune di Lamezia Terme, Zona Industriale area ex SIR. La società è stata costituita in data 17 marzo 1997. È iscritta nel Registro delle Imprese di Catanzaro dal 14 agosto 1997 (Codice fiscale 0212133095, n. R.E.A. CZ-154049). La società ha per oggetto la promozione di attività dirette al rilancio ed allo sviluppo produttivo e occupazionale dell'area ex SIR di Lamezia Terme nel quadro dell'utilizzo di risorse rivenienti dai fondi nazionali di cui alla legge n. 263/93, alle leggi regionali n. 488/92 e n. 341/95 e di altre normative regionali, nazionali e comunitarie nonché il rilancio economico e sociale di Lamezia Terme e del suo comprensorio. Il capitale sociale è pari ad € 3.500.000,00, interamente versato, suddiviso in 700.000 azioni del valore nominale di € 5,00. L'Amministrazione Provinciale di Catanzaro possiede una partecipazione di n. 97.312 azioni, per un valore nominale di € 486.560,00 pari al 13,90%.","L'azienda ha la sede di Lamezia Terme, Zona Industriale area ex SIR. La società è stata creata il 17 marzo 1997 e è stata registrata il 14 agosto 1997. La società è stata fondata dal 14 agosto 1997. La società è stata creata il 17 marzo 1997. È considerata una società con compiti di capitale pubblico. La società sta promuovendo attività dirette per migliorare l'economia e l'occupazione della zona ex SIR di Lamezia Terme e del suo comprensorio. Il capitale sociale è di 3.500.000 euro, totale versato in 700.000.000 euro, diviso in 700.000 azioni, che corrispondono a € 5,00. L'Amministrazione Provinciale di Catanzaro possiede un valore di 686.560 euro, che del suo 13,90%.",117,131,551,565,221,73,63,8,0,28,23,14,1,0,17,2,0,8,15,7,13,0,3,0,9,14,62.39316239316239,62.41880341880342,68.59722222222221,0.5042735042735043,89,86,4,10,82.9168975353241,473,27,69,23,37
07108e7d68b7e897ed6a800be9802105,7,"La compagine societaria è costituita da 26 soci tutti Soggetti Promotori del Patto Territoriale Lametino ed i cui azionisti di riferimento sono – oltre alla PROVINCIA di Catanzaro, il COMUNE di Lamezia Terme con una partecipazione del 28,52%, la Regione Calabria attraverso ""FINCALABRA S.P.A."", con una partecipazione del 20%, ""INVITALIA SPA"" attraverso ""Investire Partecipazioni"", con una partecipazione del 20%, la C.C.I.A.A. di Catanzaro, con una partecipazione del 14,14% - detentori del 97% delle azioni.","La società possiede 26 soci e coinvolge diversi soci che partecipano ad un Patto Territoriale Lametino con una partecipazione del 28,52%. La Regione Calabria ha un 28,52%, la Regione Calabria ha investito il 20%, l'INVITALIA SPA con una partecipazione del 20%, e ci sono detentori del 97% delle azioni.",50,60,244,254,102,36,31,2,0,10,7,6,5,0,10,2,0,1,7,5,5,0,2,0,7,0,72.0,52.2,48.400000000000006,0.36,31,26,6,4,84.73487496376038,242,16,33,16,15
07108e7d68b7e897ed6a800be9802105,8,Il consiglio di amministrazione è composto da cinque amministratori di cui uno nominato dal Comune di Lamezia Terme.,"Il consiglio di amministrazione è composto da cinque amministratori, uno quello scelto dal Comune di Lamezia Terme.",17,19,97,99,39,16,16,1,0,3,3,1,0,0,2,1,0,0,4,3,2,0,0,0,1,2,94.11764705882352,49.588235294117645,39.882352941176464,0.35294117647058826,14,13,1,2,97.39429950714111,12,2,2,2,2
07108e7d68b7e897ed6a800be9802105,9,"Con la L. R. 2 agosto 2013, n. 42, pubblicata sul B.U.R. n. 15 dell'1 agosto 2013, supplemento straordinario n. 3 del 8 agosto 2013 – recante ad oggetto ""Riconoscimento delle Agenzie di sviluppo Locale"" – la ""LAMEZIAEUROPA S.P.A."" ha ottenuto il riconoscimento di ""Agenzia di Sviluppo Locale"". Ai sensi dell'articolo 3, comma 2, della suddetta legge regionale, le ""Agenzie di Sviluppo Locale"" hanno lo scopo di ""promuovere lo sviluppo sociale, economico ed occupazionale, di qualificare le competenze e le risorse umane e di accrescere la competitività e l'attrattività dei territori di riferimento valorizzando i sistemi produttivi locali, in piena sinergia con gli strumenti della programmazione regionale e della pianificazione territoriale"". Va evidenziato che la partecipazione in ""Lamezia Europa S.p.A."" ricade nelle ipotesi di cui all'articolo 20, comma 2, lett. b) (società con un numero di amministratori superiore a quello dei dipendenti) e lett. d) (società che, nel triennio precedente, ha conseguito un fatturato medio non superiore a un milione di euro).","Con la legge regionale del 2 agosto 2013, numero 42, pubblicata sul B.U.R. numero 15 del 8 agosto 2013, la ""LAMEZIAEUROPA S.P.A."" è stata considerata ""Agenzia di Sviluppo Locale"". Le ""Agenzie di Sviluppo Locale"" sono azioni per migliorare lo sviluppo sociale, economico ed occupazionale, assicurare le competenze e le risorse umane e valorizzare l'attrattività dei territori, valorizzando i sistemi produttivi locali e coinvolgono i sistemi produttivi locali. Sono state incoraggiate sia le società che hanno un numero di amministratori superiore a quello dei dipendenti, sia l'azienda che ha avuto più ricchezza di un milione di euro.",98,114,524,540,219,73,59,3,0,21,16,7,0,1,12,3,0,12,13,7,16,0,6,0,10,6,74.48979591836735,44.714285714285715,28.07823129251701,0.5102040816326531,76,67,10,10,81.40226006507874,475,20,71,20,39
07108e7d68b7e897ed6a800be9802105,10,"Pertanto, risulta in contrasto con le previsioni di cui all'art. 24, comma1, TUSP, che prescrive, per tale partecipazione l'adozione di una misura di razionalizzazione di cui all'art. 20, commi 1 e 2.","Quindi, per evitare alcune situazioni, si prende misure per migliorarne i servizi di questa partecipazione, come previsto dall'articolo 24, comma1, del TUSP.",23,29,130,136,53,22,22,1,0,5,4,1,0,1,3,1,0,0,5,2,6,0,0,1,4,0,95.65217391304348,45.52173913043478,33.217391304347814,0.43478260869565216,17,16,1,1,59.28953289985657,118,16,26,13,20
